16-06-18_17-41-03-625 | 
SS =    150 | FJLT:      2 | d =     32 | k =      8 | er =  0.450 | TP =  15 | accuracy =   91.3 | 
SS =    150 | FJLT:      2 | d =     32 | k =      9 | er =  0.450 | TP =  15 | accuracy =   92.7 | 
SS =    150 | FJLT:      2 | d =     32 | k =     10 | er =  0.450 | TP =  15 | accuracy =   89.3 | 
16-06-18_17-50-22-146 | 
SS =    150 | FJLT:      0 | d =     32 | k =     32 | er =  0.450 | TP =  15 | accuracy =   93.3 | 
SS =    150 | FJLT:      1 | d =     32 | k =      2 | er =  0.450 | TP =  15 | accuracy =   90.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      3 | er =  0.450 | TP =  15 | accuracy =   93.3 | 
SS =    150 | FJLT:      1 | d =     32 | k =      4 | er =  0.450 | TP =  15 | accuracy =   95.3 | 
SS =    150 | FJLT:      1 | d =     32 | k =      5 | er =  0.450 | TP =  15 | accuracy =   94.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      6 | er =  0.450 | TP =  15 | accuracy =   95.3 | 
SS =    150 | FJLT:      1 | d =     32 | k =      7 | er =  0.450 | TP =  15 | accuracy =   96.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      8 | er =  0.450 | TP =  15 | accuracy =   94.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      9 | er =  0.450 | TP =  15 | accuracy =   95.3 | 
SS =    150 | FJLT:      1 | d =     32 | k =     10 | er =  0.450 | TP =  15 | accuracy =   94.7 | 
SS =    150 | FJLT:      2 | d =     32 | k =      2 | er =  0.450 | TP =  15 | accuracy =   82.7 | 
SS =    150 | FJLT:      2 | d =     32 | k =      3 | er =  0.450 | TP =  15 | accuracy =   92.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =      4 | er =  0.450 | TP =  15 | accuracy =   88.7 | 
SS =    150 | FJLT:      2 | d =     32 | k =      5 | er =  0.450 | TP =  15 | accuracy =   93.3 | 
SS =    150 | FJLT:      2 | d =     32 | k =      6 | er =  0.450 | TP =  15 | accuracy =   96.7 | 
SS =    150 | FJLT:      2 | d =     32 | k =      7 | er =  0.450 | TP =  15 | accuracy =   95.3 | 
SS =    150 | FJLT:      2 | d =     32 | k =      8 | er =  0.450 | TP =  15 | accuracy =   94.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =      9 | er =  0.450 | TP =  15 | accuracy =   92.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =     10 | er =  0.450 | TP =  15 | accuracy =   93.3 | 
